Species,adu_alo,adu_fol,adu_alo_b,adu_alo_h,adu_fol_b,adu_fol_h,Shape
P_arc,-0.61789408,-0.428086155,0.542049552,0.771602628,-0.788224156,0.280930032,-0.014142155
P_dun,1.152949198,-2.803173818,-1.760075036,-0.659691142,-2.527542861,-1.373223868,-0.004344697
P_dun,0.218715659,-1.553759086,-0.186879145,-1.341007219,-0.535902135,-1.637023745,0.024932336
P_dun,0.617262267,-3.117445098,-2.201536118,-1.047461285,-2.850244559,-1.456141094,-0.011590255
P_dun,1.515136567,-1.272969499,1.357288586,-1.785915232,-0.870080493,-0.856931151,-0.027614239
P_dun,0.521454086,-4.004034909,-2.479669108,-0.644061412,-2.838707414,-2.758564932,-0.050521072
P_dun,0.218715659,-1.553759086,-0.186879145,-1.341007219,-0.535902135,-1.637023745,0.011373464
P_dun,0.916159981,-0.829711286,0.01916358,-1.579042901,-0.909785118,-0.188959469,-0.06123351
P_dun,-0.45933435,2.83053379,-2.964918247,-0.121271947,2.023176477,1.948848777,0.010733369
P_dun,2.230009641,-1.897295501,-1.605506896,-1.956999251,-1.008527082,-1.769134186,-0.080178004
P_dun,0.218723282,-0.850692029,0.40346841,-0.986367512,0.327952698,-1.467524427,-0.033624528
P_dun,1.058900222,-3.627390742,-3.230781679,-1.357196099,-2.621147775,-2.512647863,-0.091838206
P_dun,0.521454086,-4.004034909,-2.479669108,-0.644061412,-2.838707414,-2.758564932,0.011276671
P_dun,1.515136567,-1.272969499,1.357288586,-1.785915232,-0.870080493,-0.856931151,-0.029812563
P_dun,3.651339507,1.279314931,0.893581421,-2.761436976,0.336443057,1.52156577,-0.069982041
P_dun,2.174327804,-2.546365889,-1.05084491,-2.221741486,-2.303639235,-1.293104715,0.046803211
P_dun,1.560828931,0.887069021,1.664290883,-1.937181476,0.119157098,1.198449343,0.043802978
P_dun,0.617262267,-3.117445098,-2.201536118,-1.047461285,-2.850244559,-1.456141094,0.036291171
P_dun,1.152949198,-2.803173818,-1.760075036,-0.659691142,-2.527542861,-1.373223868,0.077277247
