Species,juv_alo,juv_fol,juv_alo_b,juv_alo_h,juv_fol_b,juv_fol_h,Shape
P_dun,-0.3024676,-2.368327639,-0.852164514,-0.024599896,-1.551017558,-1.782339443,-0.040615716
P_dun,-3.137543762,4.218003643,-2.046205305,-2.494120661,3.037315112,2.894652756,-0.079881296
P_dun,-1.058131169,-0.155248887,-1.525766153,-0.303794201,0.720468947,-0.853412738,-0.047758624
P_dun,3.514603622,-1.573061105,-0.724545706,3.899814703,-0.711847454,-1.427352527,-0.023358532
P_dun,1.469902202,-2.978206856,-0.738286783,2.331377707,-1.922801949,-2.290000148,-0.057019682
P_dun,0.940616107,-1.086906701,-1.352725153,1.241100105,-0.720028458,-0.794758245,-0.020952779
P_dun,3.514603622,-1.573061105,-0.724545706,3.899814703,-0.711847454,-1.427352527,-0.031347497
P_dun,0.442231618,-1.752548972,-0.697909637,0.825970346,-0.845519089,-1.595940713,-0.023660816
P_dun,0.425452805,-0.876323757,-0.940493794,1.016397212,-0.462807711,-0.806660685,-0.031955192
P_dun,1.469902202,-2.978206856,-0.738286783,2.331377707,-1.922801949,-2.290000148,-0.06544183
P_dun,-3.137543762,4.218003643,-2.046205305,-2.494120661,3.037315112,2.894652756,-0.011566933
P_dun,-1.058131169,-0.155248887,-1.525766153,-0.303794201,0.720468947,-0.853412738,-0.028388741
P_dun,-0.3024676,-2.368327639,-0.852164514,-0.024599896,-1.551017558,-1.782339443,0.053223172
P_hes,-8.763500592,8.05134376,-3.185350837,-8.605038239,6.37261779,5.198719836,0.054146363
P_hes,-0.952965138,2.093187323,-2.326830618,-0.167470236,1.987693578,1.117864063,-0.012092654
P_hes,-8.763500592,8.05134376,-3.185350837,-8.605038239,6.37261779,5.198719836,0.053008391
P_hes,-0.952965138,2.093187323,-2.326830618,-0.167470236,1.987693578,1.117864063,0.029085526
P_lan,0.833827545,0.686212965,1.626576936,-0.224654327,-0.033043695,0.96601152,0.094661292
P_lan,-1.014328735,-1.37752661,0.195497016,-0.515467655,-1.123767467,-0.871233189,0.006700899
P_lan,3.399938825,-0.756055807,0.612333675,2.653115573,-0.609688674,-0.506505052,0.00776008
P_lan,-0.079990089,2.20063283,1.908724698,-0.501703345,0.896155551,2.075636976,-0.021015595
P_lan,-0.588160497,1.396159996,1.997681085,-1.292534162,0.766664502,1.160855725,0.162392813
P_lan,-0.887850598,2.282803337,-0.013302101,-0.877751202,1.436970266,1.827899705,0.079963321
P_lan,-0.846279378,0.906550812,0.312866187,-0.925438002,0.899543512,0.414076173,-0.013860639
P_lan,0.374140323,1.722855986,1.722932584,-0.399759854,0.390065812,1.918379993,-0.047928069
P_lan,0.364009122,1.053520745,1.888709448,-0.231390672,0.537453475,0.934809294,0.042399122
P_lan,-0.453719782,0.872597159,1.89851816,-1.229375488,0.628957033,0.650284504,-0.007544089
P_lan,-0.200251243,0.993622681,0.737816854,0.127637434,0.379146569,0.985883713,0.042518535
P_lan,-0.688201509,1.197329008,2.420558184,-1.586200766,0.236310162,1.370452536,-0.003429344
P_lan,0.71056977,0.797926929,1.55607402,0.072644402,0.111700964,0.947288424,0.898335154
P_lan,-0.072078112,0.768594564,0.934997337,-0.464248246,0.093872658,0.913086087,-0.019174313
P_lan,-0.15709564,1.03125552,-0.046965104,-0.15386663,0.301498648,1.102556266,0.003560426
P_lan,1.069442813,0.242866108,1.361558764,0.527894384,0.350775186,0.064503239,-0.008750603
P_lan,-0.010896967,0.751812429,0.756026036,-0.60874982,0.051920922,0.983982732,0.025871727
P_lan,0.525295855,0.816351071,0.710922867,0.505427955,-0.025795248,1.152627637,0.039129888
P_lan,-2.607991635,-0.150644956,-1.617781878,-2.342945793,0.326007663,-0.486554408,-0.038266436
P_lan,0.56461093,-0.721596563,0.535250758,0.335552113,0.037605869,-1.000970341,-0.035766476
P_lan,1.686870253,-0.518881562,0.542919204,1.561157872,-0.065607168,-0.630641586,-0.031159068
P_lan,1.832467839,0.247261841,2.977590634,0.838580897,-0.117003514,0.420380706,0.031771677
P_lan,-0.182078798,0.049974559,0.900988921,-0.487812091,-0.184624084,0.247196234,0.085796771
P_lan,1.338161689,0.644477612,2.120377233,0.702204206,-0.135082598,0.965573063,-0.031276588
P_lan,0.664504828,0.884304094,0.25026358,0.743813132,-0.361957266,1.506342681,0.000864962
P_lan,0.879192945,-0.038125399,3.00708497,0.170927071,-0.452129109,0.352940402,-0.004573441
P_lan,1.210190302,-0.415597124,-0.577131386,1.56778617,-0.014576163,-0.531078671,-0.004662928
P_lan,0.675957637,-0.083831421,0.953057139,0.447070634,-0.123541816,-0.051564118,-0.047203253
P_lan,1.32280464,0.397772213,-0.052438648,1.943367362,-0.124443144,0.625973543,-0.026089826
P_lan,-0.328967892,0.131288792,1.914310415,-0.328637587,-0.070684946,0.24032659,0.022153708
P_lan,2.246129132,0.173103542,0.95508526,2.045149665,-0.240718367,0.433150066,0.024146469
P_lan,1.260515802,0.039283986,2.043149704,1.235926573,-0.164440749,0.206032105,-0.005162119
P_lan,0.878122036,-0.579355692,1.090716134,0.854504009,-0.279326228,-0.527111559,0.044544366
P_lan,-2.133230547,0.383258315,-0.258993361,-1.781131206,-0.450584447,0.884104995,-0.002279947
P_lan,1.013042321,0.163279878,0.585971606,0.739201131,-0.181501705,0.349018402,-0.020011982
P_lan,1.529329847,-0.241856635,1.773739056,0.530472003,-0.350825327,-0.029007071,-0.013895821
P_lan,1.054013168,-0.24932789,0.95504715,0.683930722,-0.319662202,-0.056537972,0.005392997
P_lan,2.527904137,-0.081730275,2.440706854,1.701220422,-0.417846988,0.240208391,-0.018265671
P_lan,1.402248355,-0.843647732,1.590223565,1.034361935,-0.342779148,-0.797415688,0.004670591
P_lan,0.256808034,-0.276279101,-0.663090992,0.697089341,-0.423466117,0.01996957,0.005127649
P_lan,0.008354574,-0.217127442,-0.08697046,0.303073806,-0.302241467,-0.023902422,-0.052059176
P_lan,0.863899504,-0.810124238,0.342019534,0.998118334,-0.611035304,-0.541462249,0.017035548
P_lan,1.727999136,-0.611693411,-0.160109262,1.940998513,-0.497993506,-0.358453304,0.026624576
P_lan,-0.556416353,-0.356406765,1.586356853,-0.88817503,-0.838622541,0.273124294,-0.0265156
P_lan,2.789760804,-0.502602191,2.40592998,1.954363083,-0.4751558,-0.285544436,-0.001154108
P_lan,0.918194409,-0.510849088,2.113015893,0.189538479,-0.641222458,-0.114416416,-0.033744891
P_lan,0.723563234,-0.666761336,2.165179963,0.151285131,-0.854762076,-0.147728975,-0.006911961
P_lan,1.756565792,-0.603089747,1.520528668,1.067269333,-0.330104077,-0.487409352,0.000858082
P_lan,0.198163743,-0.645265985,2.776107725,-0.755068878,-0.776237181,-0.181352485,-0.007548195
P_lan,-0.048030981,-1.369888056,0.222046463,-0.437643213,-0.365441775,-1.492457017,0.007775326
P_lan,2.036070296,-0.578868105,-0.142325714,2.212892868,-0.41732779,-0.381330848,-0.0202514
P_lan,0.336292508,-0.926159785,1.089165279,0.030977615,-0.359954979,-0.952912903,-0.037348348
